"site","date","temp","humidity","precip","windgust","windspeed","winddir","sealevelpressure","solarradiation","carddir"
"DB",2022-06-20,23.9,38.9,0,11.8055555555556,6.66666666666667,328.5,1014.5,170.5,"NW"
"DB",2022-06-21,28.1,26.6,0,8.80555555555556,4.75,17.4,1010.7,180.4,"N"
"DB",2022-06-22,27.1,31.6,0,9.30555555555556,4.13888888888889,313.1,1010.3,155.6,"NW"
"DB",2022-06-23,27.6,36.3,0,11.3055555555556,6.55555555555556,285.4,1010.1,290,"W"
"DB",2022-06-24,26.9,35.2,0,9.30555555555556,5.86111111111111,292,1009.5,307.5,"W"
"DB",2022-06-25,25.4,37.3,0,5.30555555555556,6.72222222222222,303.5,1010.9,311.5,"NW"
"DB",2022-06-26,24.5,45.1,0,7.69444444444444,6.44444444444444,304.6,1013.9,214.3,"NW"
"DB",2022-06-27,24.4,47,0,9.80555555555556,6.83333333333333,297.4,1015.6,218.6,"NW"
"DB",2022-06-28,24.7,36.3,0,10,7.38888888888889,293,1015.2,205,"NW"
"DB",2022-06-29,21,50.7,0,11.3055555555556,7.11111111111111,277.1,1014.5,176.5,"W"
"DB",2022-06-30,18.6,61.5,0,13.1388888888889,7.55555555555556,263.9,1015.1,265.4,"W"
"DB",2022-07-01,18.7,59.7,0,14.3888888888889,7.19444444444444,264.4,1014.2,311.9,"W"
"DB",2022-07-02,16.8,68,0,14.3888888888889,9.63888888888889,249.9,1013.6,308,"W"
"DB",2022-07-03,16.8,66.2,0,14.5,7.33333333333333,257.1,1014.3,278.3,"W"
"DB",2022-07-04,20.3,63.9,0,9.80555555555556,7,270.9,1013.8,271.9,"W"
"DB",2022-07-05,22.5,64.4,0,11.25,7.88888888888889,285.5,1012.9,221,"W"
"DB",2022-07-06,20.4,63,0,9.80555555555556,7.88888888888889,276,1013.8,180.7,"W"
"DB",2022-07-07,21,59.2,0,10.3055555555556,6.33333333333333,268.2,1015,181.8,"W"
"DB",2022-07-08,22.5,53.6,0,10.3055555555556,7.11111111111111,275,1015.4,176.7,"W"
"DB",2022-07-09,21.9,57.5,0,9.38888888888889,7.08333333333333,271.8,1018.5,188.4,"W"
"DB",2022-07-10,25.2,48.9,0,9.88888888888889,6.38888888888889,287.8,1015.8,186.1,"W"
"DB",2022-07-11,27.6,38.8,0,6.61111111111111,6.52777777777778,295.2,1010.5,294.8,"NW"
"DB",2022-07-12,22.7,56.4,0,9.80555555555556,6.77777777777778,297.8,1009.9,290.3,"NW"
"DB",2022-07-13,21.9,60.4,0,5.69444444444444,6.11111111111111,294.5,1012.3,181.2,"NW"
"DB",2022-07-14,22.6,55.7,0,11.6111111111111,7.13888888888889,282.5,1012.4,187.7,"W"
"DB",2022-07-15,22.6,50.3,0,9.80555555555556,6.11111111111111,278.2,1013.2,172.6,"W"
"DB",2022-07-16,25.9,43.4,0,9.80555555555556,5.41666666666667,303.7,1010.9,182.6,"NW"
"DB",2022-07-17,26.8,40.4,0,8,6.52777777777778,297.8,1008.3,175.5,"NW"
"DB",2022-07-18,27.2,34.4,0,9.80555555555556,6.38888888888889,287,1011.3,155.2,"W"
"DB",2022-07-19,25.4,39.3,0,7,6.97222222222222,300.1,1013.9,195.2,"NW"
"DB",2022-07-20,23.5,46.6,0,9.5,5.94444444444444,294.2,1015.1,198.5,"NW"
"DB",2022-07-21,23.5,45.4,0,8.38888888888889,6.38888888888889,286.1,1013.8,212,"W"
"DB",2022-07-22,24,38.7,0,11.3055555555556,7.30555555555556,286,1012,210.5,"W"
"DB",2022-07-23,22.7,45.7,0,10.5,5.22222222222222,282.7,1010.4,218.5,"W"
"DB",2022-07-24,22.6,52.4,0,4.88888888888889,5.55555555555556,307,1009.8,215.6,"NW"
"DB",2022-07-25,21,58.2,0,6.69444444444444,6.16666666666667,296.6,1010.5,207.3,"NW"
"DB",2022-07-26,22.1,56.2,0,8.19444444444444,7.13888888888889,302.6,1011.9,209.2,"NW"
"DB",2022-07-27,22.4,53.3,0,8.19444444444444,6.52777777777778,292.8,1013.4,209.7,"NW"
