name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
discovery bay california,2022-07-30,28.9,16.7,21.4,28.9,16.7,21.5,14.2,65.1,0,0,0,,0,0,37.1,25.7,271.1,1011.6,23.1,16,258.8,22.2,8,10,2022-07-30T06:08:07,2022-07-30T20:17:08,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KSCK,KCCR,KLVK,72492723285,E9135,72495023254,72492023237,CI047"
discovery bay california,2022-07-31,27.2,16.9,21.3,27.4,16.9,21.3,14.1,65.1,0,0,0,,0,0,30.2,23.4,279.5,1013.6,18.6,16,187.8,16.2,7,10,2022-07-31T06:08:57,2022-07-31T20:16:11,0.11,Clear,Clear conditions throughout the day.,clear-day,"KSCK,KCCR,KLVK,72492723285,72495023254,72492023237,VAQC1,CI047"
discovery bay california,2022-08-01,31,17.8,23.3,29.5,17.8,23,12.5,53.4,0.068,100,8.33,rain,0,0,23.4,15.6,309.1,1014.6,7.7,15.9,166.3,14.3,6,10,2022-08-01T06:09:48,2022-08-01T20:15:13,0.14,Rain,Clear conditions throughout the day with afternoon rain.,rain,"D3588,KSCK,KCCR,KLVK,72492723285,E9135,72495023254,72492023237,CI047"
discovery bay california,2022-08-02,35.5,19.1,26.3,34.9,19.1,26,12.4,44,0,0,0,,0,0,26.3,28.1,293.5,1013.9,0.3,16,259.3,22.4,9,10,2022-08-02T06:10:39,2022-08-02T20:14:13,0.18,Clear,Clear conditions throughout the day.,clear-day,"D3588,KSCK,KCCR,KLVK,72492723285,E9135,72495023254,72492023237,CI047"
discovery bay california,2022-08-03,35.9,18.2,26.4,34.8,18.2,26,12,43.2,0,0,0,,0,0,33.5,23,288.8,1011.6,0,16,269.1,23.3,8,10,2022-08-03T06:11:30,2022-08-03T20:13:12,0.21,Clear,Clear conditions throughout the day.,clear-day,"KSCK,KCCR,KLVK,72492723285,E9135,72495023254,72492023237,CI047"
discovery bay california,2022-08-04,34.9,20.2,26.2,33,20.2,25.7,10.7,40.2,0,0,0,,0,0,47.9,26.3,288.1,1009.7,0,16,268.3,23.2,8,10,2022-08-04T06:12:21,2022-08-04T20:12:09,0.25,Clear,Clear conditions throughout the day.,clear-day,"KSCK,KCCR,KLVK,72492723285,E9135,72495023254,72492023237,CI047"
discovery bay california,2022-08-05,28.3,17.3,21.9,28,17.3,21.9,13.5,60.5,0,0,0,,0,0,38.9,23.2,298.2,1012.6,6,16,271.8,23.6,8,10,2022-08-05T06:13:12,2022-08-05T20:11:05,0.25,Clear,Clear conditions throughout the day.,clear-day,"KSCK,KCCR,KLVK,72492723285,E9135,72495023254,72492023237,CI047"
discovery bay california,2022-08-06,27.9,17.1,21.4,27.6,17.1,21.4,13.5,63,0,0,0,,0,0,33.5,26.5,291.1,1014.3,24.8,16,277,23.9,8,10,2022-08-06T06:14:04,2022-08-06T20:10:00,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KSCK,KCCR,KLVK,72492723285,72495023254,72492023237,VAQC1,CI047"
discovery bay california,2022-08-07,29,15.6,21.3,28.4,15.6,21.2,12.7,60.9,0,0,0,,0,0,38.9,27,286.1,1014.6,12.5,16,279.2,24,8,10,2022-08-07T06:14:55,2022-08-07T20:08:53,0.35,Clear,Clear conditions throughout the day.,clear-day,"KSCK,KCCR,KLVK,72492723285,72495023254,72492023237,VAQC1,CI047"
discovery bay california,2022-08-08,29.9,15.8,21.7,28.8,15.8,21.5,12.8,60.1,0,0,0,,0,0,33.5,23.8,273.8,1014.3,3.8,16,223.1,19.2,8,10,2022-08-08T06:15:47,2022-08-08T20:07:45,0.39,Clear,Clear conditions throughout the day.,clear-day,"D3588,KSCK,KCCR,KLVK,72492723285,72495023254,72492023237,VAQC1,CI047"
discovery bay california,2022-08-09,29.3,16.8,21.7,28.4,16.8,21.6,12.9,60.2,0,0,0,,0,0,40.7,24,269.6,1013.9,9.4,16,206.8,17.8,10,10,2022-08-09T06:16:39,2022-08-09T20:06:36,0.42,Clear,Clear conditions throughout the day.,clear-day,"D3588,KSCK,KCCR,KLVK,72492723285,72495023254,72492023237,VAQC1"
discovery bay california,2022-08-10,30.6,15.6,22.3,29.4,15.6,22.1,13,59.3,0,0,0,,0,0,27.7,22.2,277.7,1016.4,1.3,16,203.9,17.5,9,10,2022-08-10T06:17:31,2022-08-10T20:05:26,0.46,Clear,Clear conditions throughout the day.,clear-day,"D3588,KSCK,KCCR,KLVK,72492723285,E9135,72495023254,72492023237"
discovery bay california,2022-08-11,31.1,15.8,22.1,29.6,15.8,21.8,12.2,57.7,0,0,0,,0,0,29.5,24.9,273,1016.1,2.2,16,204.3,17.5,9,10,2022-08-11T06:18:22,2022-08-11T20:04:15,0.5,Clear,Clear conditions throughout the day.,clear-day,"D3588,KSCK,KCCR,KLVK,72492723285,72495023254,72492023237,VAQC1"
discovery bay california,2022-08-12,31.1,15.2,22.1,29.4,15.2,21.7,11.3,55.1,0,0,0,,0,0,44.6,22.6,264.8,1015.2,0,16,205.8,17.7,10,10,2022-08-12T06:19:14,2022-08-12T20:03:02,0.52,Clear,Clear conditions throughout the day.,clear-day,"D3588,KSCK,KCCR,KLVK,72492723285,72495023254,72492023237,VAQC1"
discovery bay california,2022-08-13,33.5,14.3,23,31.4,14.3,22.4,10.3,49.9,0,0,0,,0,0,31.3,21.6,285.2,1014.6,0,16,204.8,17.3,10,10,2022-08-13T06:20:06,2022-08-13T20:01:49,0.56,Clear,Clear conditions throughout the day.,clear-day,"D3588,KSCK,KCCR,KLVK,72492723285,E9135,72495023254,72492023237"
discovery bay california,2022-08-14,35.9,13.2,24.1,33.8,13.2,23.5,10.1,47,0,0,0,,0,0,28.4,20.1,295.6,1012.8,0,16,206.4,17.7,10,10,2022-08-14T06:20:58,2022-08-14T20:00:34,0.59,Clear,Clear conditions throughout the day.,clear-day,"D3588,KSCK,KCCR,KLVK,72492723285,72495023254,72492023237"
