time_stamp,humidity,pm2.5_cf_1,pm2.5_cf_1_a,pm2.5_cf_1_b
1674777600,56.556,2537.6245,76.353,4998.896
1676851200,40.418,2522.65,46.725,4998.575
1670025600,65.257,62.6845,62.218,63.151
1681516800,41.361,2508.6595,18.914,4998.405
1664582400,37.025,6.7425,7.469,6.016
1666137600,42.957,24.753,26.895,22.611
1665792000,47.919,20.9195,21.538,20.301
1.67E+09,59.161,2535.0585,54.798,5015.319
1673395200,69.983,2511.7595,25.274,4998.245
1673740800,69.173,2513.844,29.297,4998.391
1674950400,55.2,2507.696,16.824,4998.568
1673049600,62.417,28.537,30.033,27.041
1660608000,29.274,32.7645,32.717,32.812
1670284800,58.261,41.769,40.609,42.929
1681430400,38.171,2506.588,14.884,4998.292
1663977600,39.381,12.496,11.732,13.26
1685404800,43.672,2507.485,16.569,4998.401
1656288000,31.472,10.7365,17.179,4.294
1678320000,55.239,2515.719,32.801,4998.637
1668038400,56.856,27.096,25.482,28.71
1665964800,48.54,29.868,42.391,17.345
1684195200,39.868,2490.224,13.301,4967.147
1670716800,64.007,27.181,36.465,17.897
1676419200,35.65,2519.2335,3.827,5034.64
1654041600,21.987,6.897,9.7,4.094
1659571200,25.693,11.6975,13.84,9.555
1671494400,57.352,74.501,84.438,64.564
1668297600,49.574,21.985,19.98,23.99
1657756800,37.55,11.6555,15.439,7.872
1678492800,58.444,2522.33,46.36,4998.3
1662249600,25.754,11.1535,10.582,11.725
1674432000,37.864,2502.521,7.017,4998.025
1658275200,28.696,9.482,12.046,6.918
1669248000,47.41,68.49,68.817,68.163
1670544000,58.393,75.864,76.302,75.426
1683072000,50.721,2510.535,22.754,4998.316
1667520000,43.376,26.1355,21.09,31.181
1660953600,30.732,13.466,15.094,11.838
1662681600,20.768,14.9615,13.575,16.348
1669075200,48.847,84.626,86.205,83.047
1664150400,39.683,9.84,9.018,10.662
1659744000,42.032,6.481,10.458,2.504
1664496000,38.518,5.8435,6.486,5.201
1685577600,38.189,2509.1645,19.825,4998.504
1668643200,50.337,54.0925,52.745,55.44
1678752000,65.865,2510.637,22.979,4998.295
1680739200,41.118,2509.3815,20.327,4998.436
1684022400,32.565,2480.54,7.209,4953.871
1680825600,49.993,2508.9325,19.555,4998.31
1673308800,67.824,2513.9915,29.647,4998.336
1671148800,61.383,71.532,70.294,72.77
1684713600,38.333,2499.005,21.97,4976.04
1663804800,42.367,8.33,8.286,8.374
1678838400,56.996,2511.4315,24.145,4998.718
1671580800,63.73,86.9975,88.979,85.016
1666483200,33.469,18.2215,27.43,9.013
1665446400,40.308,19.9425,25.641,14.244
1683417600,49.088,2510.117,22.056,4998.178
1664841600,46.028,13.1215,14.801,11.442
1673827200,66.89,2514.7335,31.207,4998.26
1682640000,31.807,2484.8585,8.36,4961.357
1668211200,55.122,67.7805,67.238,68.323
1657670400,39.765,14.2115,23.085,5.338
1666396800,45.578,11.65,11.14,12.16
1658016000,25.7,11.9745,15.077,8.872
1666915200,39.16,25.616,25.031,26.201
1662595200,18.655,16.2475,14.441,18.054
1660435200,29.561,17.652,19.222,16.082
1673136000,61.337,1656.4215,20.52,3292.323
1682380800,34.409,2515.5565,38.684,4992.429
1654214400,35.254,7.084,12.713,1.455
1662854400,31.583,42.0405,40.607,43.474
1668384000,50.543,53.497,50.299,56.695
1655856000,21.379,9.2915,10.37,8.213
1676764800,43.903,2530.337,41.527,5019.147
1661299200,33.943,6.882,8.238,5.526
1676246400,45.813,2514.981,31.314,4998.648
1657324800,36.118,21.4855,30.171,12.8
1683763200,43.251,2506.854,15.488,4998.22
1679184000,55.157,2510.754,22.902,4998.606
1684540800,40.214,2506.153,14.334,4997.972
1674691200,58.896,2542.1595,74.155,5010.164
1661126400,36.276,7.287,7.549,7.025
1669766400,45.847,41.03,39.991,42.069
1656028800,22.617,13.3555,13.696,13.015
1674604800,53.847,2548.142,74.72,5021.564
1667952000,56.076,28.8305,27.411,30.25
1661731200,38.362,15.6235,16.064,15.183
1671408000,61.969,67.093,62.258,71.928
1661817600,37.456,22.2935,22.993,21.594
1658534400,24.596,7.3695,9.517,5.222
1675468800,65.585,2523.431,48.38,4998.482
1680912000,50.275,2516.4745,34.498,4998.451
1682726400,33.435,2493.5545,7.457,4979.652
1664064000,34.185,9.414,8.685,10.143
1669680000,44.389,16.387,17.795,14.979
1685491200,42.724,2510.86,23.386,4998.334
1667606400,46.381,53.6805,38.865,68.496
1655769600,22.399,13.0415,18.199,7.884
1672272000,68.415,28.919,32.555,25.283
1680566400,38.678,2502.447,6.841,4998.053
1675036800,43.358,2532.5985,14.869,5050.328
1661904000,37.435,20.336,21.425,19.247
1675728000,53.583,2518.729,38.892,4998.566
1668556800,45.474,39.5785,38.222,40.935
1672876800,67.682,16.9795,24.073,9.886
1675900800,54.644,2535.221,72.111,4998.331
1663459200,46.231,10.418,15.627,5.209
1672012800,67.341,65.617,59.186,72.048
1670803200,58.257,21.809,32.796,10.822
1668902400,48.819,94.954,96.412,93.496
1678579200,68.089,2530.19,61.984,4998.396
1663113600,42.111,14.3785,14.189,14.568
1666224000,35.02,24.043,25.47,22.616
1660176000,36.494,5.293,7.44,3.146
1680480000,40.36,2507.012,15.361,4998.663
1683590400,43.268,2510.94,23.848,4998.032
1682899200,48.608,2515.567,32.738,4998.396
1676678400,36.875,2536.096,29.464,5042.728
1657843200,31.19,12.7545,18.593,6.916
1674345600,54.197,2547.736,63.438,5032.034
1682553600,33.307,2491.409,13.849,4968.969
1663200000,42.097,21.243,19.996,22.49
1672358400,77.817,59.083,70.817,47.349
1667779200,51.301,17.878,16.42,19.336
1666828800,37.115,18.1645,14.334,21.995
1665532800,43.494,21.907,22.379,21.435
1681603200,43,2508.4995,18.612,4998.387
1656115200,26.075,11.539,15.492,7.586
1681776000,41.287,2506.7175,15.354,4998.081
1661558400,37.083,13.2885,12.537,14.04
1659398400,35.584,12.1205,14.948,9.293
