time_stamp,humidity,pm2.5_cf_1,pm2.5_cf_1_a,pm2.5_cf_1_b
1679356800,57.842,2.958,2.447,3.469
1673136000,62.207,1.8345,1.501,2.168
1654732800,29.056,1.403,1.232,1.574
1676073600,51.521,1.301,0.975,1.627
1660089600,37.143,2.7375,2.382,3.093
1654646400,25.333,0.7305,0.671,0.79
1663632000,55.199,4.571,3.897,5.245
1678752000,63.869,0.7565,0.591,0.922
1680566400,37.185,0.323,0.216,0.43
1668556800,30.039,3.755,3.19,4.32
1680134400,54.057,0.887,0.624,1.15
1657756800,38.048,13.371,12.192,14.55
1667520000,36.045,2.216,1.722,2.71
1683676800,43.166,1.3205,0.977,1.664
1659139200,42.656,3.5235,3.057,3.99
1673568000,59.517,4.9825,4.167,5.798
1681862400,36.916,2.21,1.828,2.592
1679529600,51.426,3.427,3.065,3.789
1685059200,42.817,3.19,2.596,3.784
1658880000,31.551,0.7915,0.598,0.985
1683590400,42.403,1.8145,1.466,2.163
1667779200,43.041,0.53,0.411,0.649
1665360000,41.639,8.2695,7.604,8.935
1667433600,46.797,0.7305,0.523,0.938
1677369600,62.311,10.462,9.295,11.629
1658016000,27.297,24.9765,23.649,26.304
1665878400,48.46,17.133,16.436,17.83
1662508800,22.851,7.1695,6.584,7.755
1662595200,20.651,9.239,8.672,9.806
1664755200,39.682,4.2145,3.7,4.729
1658620800,33.276,5.073,4.696,5.45
1671580800,60.746,42.077,39.359,44.795
1681257600,39.349,2.529,2.183,2.875
1657843200,30.762,6.2815,5.84,6.723
1683244800,48.389,2.2705,1.699,2.842
1685145600,43.046,2.3505,1.766,2.935
1678492800,60.365,5.004,4.321,5.687
1660608000,28.585,24.723,23.386,26.06
1660867200,29.996,11.0755,10.442,11.709
1664668800,44.674,5.3375,4.753,5.922
1683763200,42.122,2.327,1.826,2.828
1665100800,36.328,8.26,7.281,9.239
1663200000,42.013,16.148,15.5,16.796
1655596800,30.371,3.6195,3.419,3.82
1675209600,45.29,17.588,15.901,19.275
1681776000,40.126,2.099,1.751,2.447
1670630400,62.64,12.5505,11.595,13.506
1662940800,22.41,12.486,12.036,12.936
1669593600,42.962,7.741,7.034,8.448
1684281600,36.921,5.0635,4.422,5.705
1658188800,25.239,7.4015,6.919,7.884
1656374400,21.826,1.844,1.621,2.067
1667088000,37.278,21.761,20.847,22.675
1661644800,37.767,33.4725,32.229,34.716
1658534400,23.221,3.222,2.923,3.521
1664150400,37.187,8.3205,7.512,9.129
1671408000,63.782,43.8385,40.936,46.741
1680393600,47.081,1.461,1.153,1.769
1669334400,46.314,62.191,60.2,64.182
1658966400,32.428,1.474,1.151,1.797
1682380800,31.621,2.751,2.518,2.984
1684108800,44.09,4.005,3.322,4.688
1684022400,33.976,4.652,3.931,5.373
1665014400,38.102,7.92,7.014,8.826
1664323200,34.373,5.461,4.903,6.019
1660003200,34.16,1.802,1.477,2.127
1674518400,48.118,22.9555,20.727,25.184
1663372800,38.218,6.2645,5.993,6.536
1674950400,53.05,1.7485,1.413,2.084
1654387200,43.601,2.857,2.471,3.243
1682985600,53.132,0.319,0.206,0.432
1674172800,45.188,0.2505,0.129,0.372
1678579200,69.218,8.5205,7.607,9.434
1675296000,52.804,45.977,42.791,49.163
1654992000,37.403,0.192,0.136,0.248
1674345600,51.031,14.078,12.666,15.49
1671667200,63.337,52.066,49.445,54.687
1671753600,59.604,52.8225,50.698,54.947
1672876800,66.797,0.53,0.415,0.645
1656806400,44.888,14.535,13.484,15.586
1678320000,55.369,4.4165,3.795,5.038
1667952000,49.057,0.6185,0.416,0.821
1679788800,37.361,3.3615,2.969,3.754
1681689600,44.838,3.6985,3.197,4.2
1671840000,58.164,54.2225,51.618,56.827
1660953600,31.79,8.2575,7.983,8.532
