time_stamp,humidity,pm2.5_cf_1,pm2.5_cf_1_a,pm2.5_cf_1_b
1681430400,42.251,2.276,2.689,1.863
1669766400,42.135,7.9085,8.057,7.76
1674950400,55.33,1.856,2.098,1.614
1683590400,45.897,2.229,2.636,1.822
1677369600,67.227,9.315,9.74,8.89
1660780800,30.83,24.124,24.88,23.368
1678579200,74.254,1.0555,1.363,0.748
1682035200,38.251,4.078,4.491,3.665
1677110400,49.812,0.4615,0.749,0.174
1671062400,55.16,26.1405,26.17,26.111
1661472000,44.001,6.3645,6.825,5.904
1665619200,49.394,11.766,12.116,11.416
1680998400,44.75,2.811,3.17,2.452
1662076800,30.918,8.907,9.463,8.351
1671667200,68.526,56.9425,56.856,57.029
1685577600,41.408,7.1275,7.579,6.676
1669507200,41.432,12.234,12.43,12.038
1671321600,63.931,59.385,59.177,59.593
1674518400,51.931,28.823,28.982,28.664
1674777600,56.35,43.1875,43.358,43.017
1679788800,39.415,3.588,4.045,3.131
1661644800,42.833,33.714,34.272,33.156
1662595200,25.603,11.1785,11.755,10.602
1661385600,43.655,7.465,7.929,7.001
1667952000,56.205,0.626,0.748,0.504
1666656000,35.326,3.2075,3.39,3.025
1663200000,45.01,18.3615,19.014,17.709
1667347200,53.554,0.5125,0.675,0.35
1670284800,61.3,6.0545,6.265,5.844
1665446400,41.945,13.939,14.284,13.594
1675555200,60.299,4.662,5.027,4.297
1663459200,53.556,2.9815,3.22,2.743
1672704000,73.18,7.0955,7.176,7.015
1668816000,30.795,7.061,7.354,6.768
1681257600,44.071,2.9085,3.357,2.46
1663113600,44.552,13.313,13.963,12.663
1679616000,43.856,1.276,1.709,0.843
1670457600,62.826,19.458,19.421,19.495
1667779200,50.035,0.6315,0.787,0.476
1672185600,63.575,6.8925,7.153,6.632
1670889600,53.7,2.3605,2.558,2.163
1667433600,50.018,0.6925,0.827,0.558
1677196800,60.002,0.357,0.544,0.17
1674432000,38.482,0.1225,0.187,0.058
1676419200,36.074,0.158,0.297,0.019
1664582400,37.828,3.459,3.728,3.19
1675728000,54.003,20.6325,20.652,20.613
1663286400,46.661,16.3135,16.898,15.729
1660953600,35.031,9.0345,9.616,8.453
1674864000,51.837,25.552,25.743,25.361
1677456000,66.728,2.0255,2.411,1.64
1681689600,49.637,4.524,5.039,4.009
1662163200,26.436,17.256,17.946,16.566
1680393600,51.532,2.453,2.831,2.075
1664236800,40.473,9.581,9.957,9.205
1676764800,41.534,12.06,12.27,11.85
1663545600,63.607,6.06,6.368,5.752
1661558400,43.008,9.279,9.768,8.79
1681171200,52.18,0.5065,0.704,0.309
1662854400,41.868,27.901,28.498,27.304
1669334400,49.977,73.528,72.771,74.285
1666137600,37.371,11.545,11.79,11.3
1683763200,46.939,2.759,3.17,2.348
1660176000,36.222,2.763,3.07,2.456
1683676800,49.124,1.951,2.35,1.552
1684108800,47.88,4.791,5.146,4.436
1677715200,38.41,0.269,0.439,0.099
1683331200,60.072,3.2585,3.665,2.852
1683244800,55.467,2.9025,3.282,2.523
1677542400,63.183,0.811,1.141,0.481
1659657600,34.389,3.3865,3.727,3.046
1669161600,42.839,28.0325,28.017,28.048
1677974400,53.008,1.013,1.327,0.699
1684713600,44.115,6.408,6.722,6.094
1682553600,36.083,3.531,3.897,3.165
1671494400,59.763,51.539,51.485,51.593
1675036800,41.661,1.787,1.895,1.679
1675468800,66.989,28.4235,28.633,28.214
1683072000,57.225,2.9525,3.281,2.624
1665792000,48.249,18.1645,18.505,17.824
1661990400,33.92,11.755,12.348,11.162
1662768000,39.262,13.42,13.956,12.884
1676592000,46.068,18.339,18.503,18.175
1680912000,56.329,1.4935,1.821,1.166
1678752000,65.281,1.282,1.565,0.999
1661212800,38.826,0.7005,1.021,0.38
1684368000,48.579,7.2385,7.65,6.827
1678924800,48.032,2.469,2.898,2.04
1679097600,52.767,9.5395,9.92,9.159
1660089600,45.68,3.283,3.536,3.03
1666310400,43.24,19.31,19.702,18.918
1661040000,39.642,6.6895,7.203,6.176
1680307200,46.329,2.4505,2.849,2.052
1668384000,47.111,21.608,21.887,21.329
1683158400,54.778,1.4455,1.779,1.112
1684972800,48.174,6.317,6.607,6.027
1660608000,33.628,27.193,28.673,25.713
