time_stamp,humidity,pm2.5_cf_1,pm2.5_cf_1_a,pm2.5_cf_1_b,,,,,,,,,
1681776000,39.843,0.342,0.277,0.407,,,,,,,,,
1681603200,40.651,0.4745,0.362,0.587,,,,,,,,,
1683331200,55.989,1.3585,1.033,1.684,,,,,,,,,
1682035200,36.057,0.4805,0.239,0.722,,,,,,,,,
1681689600,44.099,0.748,0.553,0.943,,,,,,,,,
1682985600,55.033,5.0705,4.693,5.448,,,,,,,,,
1681862400,36.467,2.3705,2.143,2.598,,,,,,,,,
1681516800,36.884,0.135,0.116,0.154,,,,,,,,,
1682121600,35.896,0.059,0.046,0.072,,,,,,,,,
1684713600,35.701,1.27,0.887,1.653,,,,,,,,,
1685232000,43.636,1.6805,1.34,2.021,,,,,,,,,
1680652800,26.533,4.1525,3.617,4.688,,,,,,,,,
1685145600,41.446,1.69,1.58,1.8,,,,,,,,,
1685318400,40.989,2.3485,1.909,2.788,,,,,,,,,
1681948800,35.953,0.6355,0.411,0.86,,,,,,,,,
1685404800,42.213,0.0215,0.014,0.029,,,,,,,,,
1683763200,40.64,1.3755,1.257,1.494,,,,,,,,,
1681344000,30.188,0.005,0.001,0.009,,,,,,,,,
1683417600,46.035,2.944,2.437,3.451,,,,,,,,,
1682553600,30.794,1.2625,0.925,1.6,,,,,,,,,
1685059200,44.137,0.3495,0.216,0.483,,,,,,,,,
1683504000,43.438,2.1085,1.8,2.417,,,,,,,,,
1683244800,51.028,0.2775,0.158,0.397,,,,,,,,,
1684972800,40.849,2.063,1.599,2.527,,,,,,,,,
1685577600,36.289,1.6255,1.153,2.098,,,,,,,,,
1682380800,32.635,0.7465,0.549,0.944,,,,,,,,,
1684195200,37.415,0.4405,0.266,0.615,,,,,,,,,
1683590400,42.635,0.015,0.007,0.023,,,,,,,,,
1684281600,31.231,0.619,0.37,0.868,,,,,,,,,
1680998400,38.171,0.436,0.279,0.593,,,,,,,,,
1682812800,35.976,0.3665,0.308,0.425,,,,,,,,,
1682640000,29.381,2.074,1.736,2.412,,,,,,,,,
1681084800,36.822,4.3315,3.599,5.064,,,,,,,,,
1684454400,34.218,0.831,0.623,1.039,,,,,,,,,
1683936000,36.925,3.1595,2.529,3.79,,,,,,,,,
1683849600,38.735,0.3035,0.156,0.451,,,,,,,,,
1684022400,30.774,3.1365,2.468,3.805,,,,,,,,,
1684540800,38.129,0.0405,0.032,0.049,,,,,,,,,
1684627200,40.586,0.086,0.052,0.12,,,,,,,,,
1680912000,49.081,0.5085,0.41,0.607,,,,,,,,,
1682899200,45.217,0.051,0.024,0.078,,,,,,,,,
1681171200,47.771,0.196,0.175,0.217,,,,,,,,,
1684886400,38.153,1.217,0.816,1.618,,,,,,,,,
1682208000,38.332,4.9665,4.696,5.237,,,,,,,,,
1681430400,37.065,0.0395,0.025,0.054,,,,,,,,,
1683072000,50.867,2.9915,2.596,3.387,,,,,,,,,
1684368000,35.886,3.221,2.518,3.924,,,,,,,,,
1684800000,36.001,1.3205,0.917,1.724,,,,,,,,,
1682294400,36.391,1.6655,1.53,1.801,,,,,,,,,
1682467200,31.559,2.667,2.241,3.093,,,,,,,,,
1683158400,49.89,2.7595,2.333,3.186,,,,,,,,,
1682726400,31.887,1.381,1.254,1.508,,,,,,,,,
1685491200,40.354,0.7235,0.616,0.831,,,,,,,,,
1680825600,49.891,0.7085,0.502,0.915,,,,,,,,,
1681257600,39.382,0.1075,0.084,0.131,,,,,,,,,
1680739200,40.169,0.8205,0.594,1.047,,,,,,,,,
1684108800,42.511,1.112,0.796,1.428,,,,,,,,,
1683676800,42.373,0.0025,0.001,0.004,,,,,,,,,
1681776000,39.843,0.342,0.277,0.407,,,,,,,,,
1681603200,40.651,0.4745,0.362,0.587,,,,,,,,,
1683331200,55.989,1.3585,1.033,1.684,,,,,,,,,
1682035200,36.057,0.4805,0.239,0.722,,,,,,,,,
1681689600,44.099,0.748,0.553,0.943,,,,,,,,,
1682985600,55.033,5.0705,4.693,5.448,,,,,,,,,
1681862400,36.467,2.3705,2.143,2.598,,,,,,,,,
1681516800,36.884,0.135,0.116,0.154,,,,,,,,,
1682121600,35.896,0.059,0.046,0.072,,,,,,,,,
1684713600,35.701,1.27,0.887,1.653,,,,,,,,,
1685232000,43.636,1.6805,1.34,2.021,,,,,,,,,
1680652800,26.533,4.1525,3.617,4.688,,,,,,,,,
1685145600,41.446,1.69,1.58,1.8,,,,,,,,,
1685318400,40.989,2.3485,1.909,2.788,,,,,,,,,
1681948800,35.953,0.6355,0.411,0.86,,,,,,,,,
1685404800,42.213,0.0215,0.014,0.029,,,,,,,,,
1683763200,40.64,1.3755,1.257,1.494,,,,,,,,,
1681344000,30.188,0.005,0.001,0.009,,,,,,,,,
1683417600,46.035,2.944,2.437,3.451,,,,,,,,,
1682553600,30.794,1.2625,0.925,1.6,,,,,,,,,
1685059200,44.137,0.3495,0.216,0.483,,,,,,,,,
1683504000,43.438,2.1085,1.8,2.417,,,,,,,,,
1683244800,51.028,0.2775,0.158,0.397,,,,,,,,,
1684972800,40.849,2.063,1.599,2.527,,,,,,,,,
1685577600,36.289,1.6255,1.153,2.098,,,,,,,,,
1682380800,32.635,0.7465,0.549,0.944,,,,,,,,,
1684195200,37.415,0.4405,0.266,0.615,,,,,,,,,
1683590400,42.635,0.015,0.007,0.023,,,,,,,,,
1684281600,31.231,0.619,0.37,0.868,,,,,,,,,
1680998400,38.171,0.436,0.279,0.593,,,,,,,,,
1682812800,35.976,0.3665,0.308,0.425,,,,,,,,,
1682640000,29.381,2.074,1.736,2.412,,,,,,,,,
1681084800,36.822,4.3315,3.599,5.064,,,,,,,,,
1684454400,34.218,0.831,0.623,1.039,,,,,,,,,
