time_stamp,humidity,pm2.5_cf_1,pm2.5_cf_1_a,pm2.5_cf_1_b
1654214400,32.838,235.5205,469.613,1.428
1680220800,47.147,16.634,30.239,3.029
1682726400,38.528,21.7405,40.468,3.013
1682121600,33.358,12.825,23.698,1.952
1668556800,28.328,15.5295,26.693,4.366
1658620800,31.954,6.5295,8.653,4.406
1679097600,49.524,17.1455,24.993,9.298
1663632000,51.572,9.683,14.825,4.541
1661558400,38.058,10.417,13.28,7.554
1654905600,21.063,968.896,1937.505,0.287
1666828800,28.319,6.7285,12.221,1.236
1678233600,45.385,13.7595,26.267,1.252
1661126400,35.388,3.836,5.124,2.548
1682812800,37.628,8.0745,12.969,3.18
1670803200,56.258,5.5015,10.267,0.736
1682553600,31.629,13.1895,23.176,3.203
1681430400,37.472,26.5985,50.56,2.637
1683763200,42.121,12.0285,21.45,2.607
1665446400,39.079,24.507,36.19,12.824
1674259200,51.823,14.172,22.064,6.28
1657497600,27.107,6.3435,7.374,5.313
1665360000,41.351,27.5185,47.182,7.855
1675728000,49.768,25.0585,31.161,18.956
1661040000,34.714,7.8325,10.225,5.44
1684454400,40.028,11.7605,18.894,4.627
1673654400,70.635,10.164,17.375,2.953
1662163200,21.981,18.2505,20.062,16.439
1655596800,29.246,10.491,17.638,3.344
1680566400,36.089,14.39,28.021,0.759
1666483200,27.724,6.1045,11.325,0.884
1685491200,39.676,13.046,23.814,2.278
1672790400,65.783,33.849,45.35,22.348
1677283200,59.447,9.49,17.079,1.901
1664755200,39.143,12.363,20.273,4.453
1656979200,40.221,3.567,4.095,3.039
1662940800,23.94,15.523,17.377,13.669
1679356800,54.849,11.893,20.134,3.652
1662854400,35.864,26.178,28.673,23.683
1667952000,52.337,8.748,16.531,0.965
1668902400,41.506,40.1025,55.85,24.355
1657756800,35.55,14.051,16.682,11.42
1668384000,44.024,28.791,38.624,18.958
1676937600,44.599,33.3135,50.798,15.829
1654732800,26.814,646.2505,1290.891,1.61
1679270400,54.825,3.599,5.854,1.344
1678406400,68.98,8.862,12.425,5.299
1670112000,62.863,48.6785,91.591,5.766
1658188800,25.219,7.5045,8.472,6.537
1671408000,62.544,46.965,49.579,44.351
1662595200,20.349,10.8965,12.533,9.26
1656720000,34.619,24.576,44.243,4.909
1666656000,32.622,14.725,26.376,3.074
1662422400,20.55,10.9545,13.074,8.835
1658102400,25.253,11.028,11.891,10.165
1661385600,38.35,7.417,9.053,5.781
1654300800,32.835,1.6595,1.818,1.501
1662076800,26.486,8.7595,10.411,7.108
1670284800,56.072,12.9375,20.302,5.573
1669420800,42.833,52.9565,59.99,45.923
1682467200,32.19,10.6495,17.982,3.317
1.67E+09,59.262,16.781,24.301,9.261
1666915200,33.748,13.7025,23.975,3.43
1665532800,40.915,24.5435,30.767,18.32
1666742400,37.039,10.3155,18.127,2.504
1677456000,64.385,11.6335,20.443,2.824
1657411200,31.431,6.359,7.374,5.344
1663804800,38.223,10.4635,18.236,2.691
1663545600,56.779,15.8485,26.525,5.172
1681603200,40.796,8.079,13.27,2.888
1655683200,22.451,6.093,7.186,5
1676851200,45.754,28.03,36.427,19.633
1662681600,22.054,13.6725,16.021,11.324
1682380800,31.046,9.5375,15.816,3.259
1676505600,41.522,15.731,22.02,9.442
1663718400,38.045,2.904,3.473,2.335
1668816000,26.027,20.311,34.057,6.565
1656633600,30.472,7.652,11.954,3.35
1658966400,32.361,2.113,2.75,1.476
1660003200,32.866,3.3925,4.899,1.886
1666224000,32.506,20.1865,29.432,10.941
1665964800,45.847,28.3885,47.925,8.852
1657238400,31.112,1.1525,1.501,0.804
1665878400,47.378,22.9535,29.565,16.342
1660262400,30.485,4.5635,5.716,3.411
1662508800,23.075,7.686,9.238,6.134
1662249600,27.353,5.14,6.837,3.443
1670976000,55.172,19.9045,25.73,14.079
1681862400,36.731,12.0835,21.901,2.266
1663286400,41.847,19.4875,24.69,14.285
1663891200,35.809,6.355,8.134,4.576
1677974400,50.518,13.1085,24.835,1.382
1675123200,25.826,9.909,18.445,1.373
1681516800,41.473,5.952,10.101,1.803
1678492800,56.66,9.1415,14.316,3.967
1683849600,38.917,27.621,51.453,3.789
1668729600,39.796,28.6265,34.657,22.596
1654560000,28.611,721.1925,1440.472,1.913
1682294400,36.776,9.79,16.712,2.868
1666396800,42.999,11.606,16.441,6.771
1666569600,21.853,14.777,29.345,0.209
1673827200,64.583,6.8765,12.984,0.769
1669939200,53.617,19.124,33.469,4.779
1671148800,56.96,38.3275,44.585,32.07
1672617600,45.969,5.9455,9.622,2.269
1673913600,53.872,15.753,29.372,2.134
1676160000,44.482,17.486,30.04,4.932
1668988800,37.335,28.439,39.21,17.668
1674864000,50.7,52.206,81.463,22.949
1683676800,42.975,7.138,12.073,2.203
1671667200,63.39,58.356,65.09,51.622
1660348800,29.422,4.082,4.912,3.252
1657065600,37.594,0.8705,1.16,0.581
1656201600,28.699,5.9445,7.314,4.575
1675555200,58.276,12.3885,20.608,4.169
1673308800,66.318,9.3685,11.535,7.202
1654992000,34.518,206.915,413.083,0.747
1658707200,32.499,7.5995,11.244,3.955
1685404800,40.885,15.7655,30.198,1.333
1665100800,36.491,10.2485,12.476,8.021
1670371200,53.475,12.0035,18.883,5.124
1677110400,46.3,5.9245,10.994,0.855
1669766400,39.44,23.305,39.306,7.304
1674691200,50.49,62.7215,88.877,36.566
1681948800,33.897,13.331,22.133,4.529
1664064000,30.064,8.575,10.367,6.783
1672531200,51.242,5.14,9.032,1.248
1679443200,61.708,13.381,25.827,0.935
1667088000,39.508,28.767,34.517,23.017
1680393600,47.785,6.523,11.062,1.984
